id,name,sex
Harry ,Harry ,1
Hermine,Hermine ,2
Ron,Ron ,1
Draco,Draco ,1
Hagrid, Hagrid,1
Dumbledore,Dumbledore,1
Voldemort,Voldemort,1
Snape,Snape,1
Sirius,Sirius,1
