from,to
Harry,Hermine
Hermine,Ron
Hermine ,Snape
Hermine,Dumbledore
Harry,Voldemort
Harry,Dumbledore
Snape,Dumbledore
Snape ,Ron
Voldemort,Dumbledore
Harry,Hagrid
Harry,Draco
Ron,Hagrid
Hermine,Hagrid
Ron ,Draco
Ron,Dumbledore
Harry,Snape
Harry,Sirius
Harry,Ron
