from,to
Harry,Hermine
Harry,Ron
Harry,Hagrid
Harry,Draco
Harry,Voldemort
Harry,Dumbledore
Harry,Snape
Harry,Sirius
Hermine,Ron
Hermine ,Snape
Hermine,Dumbledore
Ron,Hagrid
Hermine,Hagrid
Ron ,Draco
Ron,Dumbledore
Snape,Dumbledore
Snape ,Ron
Voldemort,Dumbledore
