id,name
Harry ,Harry Potter
Hermine,Hermine Granger
Ron,Ron Weasley
Draco,Draco Malfoy
Hagrid,Rubeus Hagrid
Dumbledore,Albus Dumbledore
Voldermort,Lord Voldemort
Snape,Severus Snape
Sirius,Sirius Black
